Unnamed: 0,code,kdj_golden_cross,kdj_death_cross,kdj_oversold,kdj_overbought,bias_golden_cross,bias_death_cross,macd_golden_cross,macd_death_cross,dma_golden_cross,dma_death_cross,boll_high_break,boll_mid_break,boll_low_break,rsi_golden_cross,rsi_death_cross,rsi_oversold,rsi_overbought,sector
69,ADP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
70,ADPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
71,ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
72,ADT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Industrials
73,ADTN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
74,ADUS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
75,ADVM,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Healthcare
76,ADX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,ADXN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Healthcare
78,ADXS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
79,AE,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,Energy
80,AEB,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
81,AEE,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0, Utilities
82,AEF,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,Financial Services
83,AEFC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,AEG,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Financial Services
85,AEHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technology
86,AEIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
87,AEL,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Financial Services
88,AEM,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Basic Materials
89,AEMD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Healthcare
90,AEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Consumer Cyclical
91,AEP,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0, Utilities
92,AER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
93,AERI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
94,AES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Utilities
95,AESE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Communication Services
96,AEY,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Technology
97,AEYE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Technology
98,AEZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Healthcare
99,AFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Financial Services
101,AFGC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
102,AFL,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Financial Services
103,AFMD,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,Healthcare
104,AFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,AFYA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Consumer Defensive
106,AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic Materials
107,AGBA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Financial Services
108,AGBAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
109,AGCO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Industrials
110,AGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,AGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
112,AGEN,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,Healthcare
113,AGFS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Consumer Defensive
114,AGI,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,Basic Materials
115,AGIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
116,AGLE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
117,AGM-A,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
118,AGM,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Financial Services
119,AGMH,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Technology
120,AGNC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
121,AGNCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,AGNCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
123,AGNCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
124,AGNCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,AGO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Financial Services
126,AGR,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0, Utilities
127,AGRO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Consumer Defensive
128,AGRX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthcare
129,AGS,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Consumer Cyclical
130,AGTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
131,AGX,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,Industrials
132,AGYS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Technology
133,AHCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
134,AHH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,AHPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthcare
136,AHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137,AI,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Technology
138,AIC,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
139,AIF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140,AIG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Financial Services
141,AIH,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Healthcare
142,AIHS,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Financial Services
143,AIKI,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Healthcare
144,AIM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Healthcare
145,AIMC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
146,AIN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Consumer Cyclical
147,AINC,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Financial Services
148,AINV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Financial Services
149,AIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
150,AIR,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Industrials
151,AIRG,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Technology
152,AIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
153,AIRT,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,Industrials
154,AIRTP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
155,AIT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Industrials
156,AIV,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
157,AIZ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Financial Services
158,AJG,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Financial Services
159,AJRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
160,AJX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
161,AJXA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
162,AKAM,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Technology
163,AKBA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Healthcare
164,AKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
165,AKRO,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Healthcare
166,AKTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technology
167,AKTX,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,Healthcare
168,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
169,ALAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
170,ALACU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
171,ALB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic Materials
172,ALBO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Healthcare
173,ALC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
174,ALCO,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Consumer Defensive
175,ALDX,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Healthcare
176,ALE,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0, Utilities
177,ALEC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Healthcare
178,ALEX,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
179,ALG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
180,ALGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthcare
181,ALGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Industrials
182,ALIM,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,Healthcare
183,ALJJ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Industrials
184,ALK,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Industrials
185,ALKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
186,ALL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Financial Services
187,ALLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
188,ALLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthcare
189,ALLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthcare
190,ALLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technology
191,ALLY,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Financial Services
192,ALNA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
193,ALNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthcare
194,ALOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technology
195,ALPN,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Healthcare
196,ALRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technology
197,ALRN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Healthcare
198,ALRS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Financial Services
199,ALSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Consumer Cyclical
200,ALT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Healthcare
201,ALTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
202,ALTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
203,ALV,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Consumer Cyclical
204,ALX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
205,ALYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
206,AM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Energy
207,AMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial Services
208,AMAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
209,AMBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
210,AMBC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Financial Services
211,AMBO,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Consumer Defensive
212,AMC,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Communication Services
213,AMCR,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Consumer Cyclical
214,AMCX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Communication Services
215,AMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
216,AME,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
217,AMED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
218,AMEH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
219,AMG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Financial Services
220,AMGN,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,Healthcare
221,AMH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
222,AMJ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
223,AMK,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Financial Services
224,AMKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
225,AMN,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Healthcare
226,AMNB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Financial Services
227,AMOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technology
228,AMOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Communication Services
229,AMP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Financial Services
230,AMPE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Healthcare
231,AMPH,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Healthcare
232,AMPY,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,Energy
233,AMRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
234,AMRK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Financial Services
235,AMRN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Healthcare
236,AMRS,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,Basic Materials
237,AMRX,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,Healthcare
238,AMS,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,Healthcare
239,AMSC,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Industrials
240,AMSF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Financial Services
241,AMSWA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Technology
242,AMT,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,
243,AMTB,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,Financial Services
244,AMTD,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,Financial Services
245,AMTX,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Energy
246,AMUB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
247,AMWD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Consumer Cyclical
248,AMX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Communication Services
249,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Consumer Cyclical
250,AN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Consumer Cyclical
251,ANAB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Healthcare
252,ANAT,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,
253,ANDE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Consumer Defensive
254,ANET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
255,ANF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Consumer Cyclical
256,ANGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Communication Services
257,ANGO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
258,ANIK,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,Healthcare
259,ANIP,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Healthcare
260,ANIX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
261,ANPC,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Healthcare
262,ANSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
263,ANTE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Communication Services
264,ANTM,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,
265,ANVS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
266,ANY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technology
267,AOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
268,AON,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Financial Services
269,AOS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Industrials
270,AOSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
271,AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Industrials
272,APA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Energy
273,APAM,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Financial Services
274,APD,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,Basic Materials
275,APDN,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Healthcare
276,APEI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Consumer Defensive
277,APEN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
278,APH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
279,APLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
280,APLS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Healthcare
281,APLT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
282,APM,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,Healthcare
283,APO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial Services
284,APOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
285,APPF,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Technology
286,APPN,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Technology
287,APPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
288,APRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthcare
289,APRN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Consumer Cyclical
290,APT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
291,APTO,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Healthcare
292,APTS,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,
293,APTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Consumer Cyclical
294,APTX,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,Healthcare
295,APVO,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,Healthcare
296,APWC,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,Industrials
297,APYX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
298,AQB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Consumer Defensive
299,AQMS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Industrials
